	question	answer
83	Конечно помню, мы провели там прекрасные дни. А особенно запомнилась прогулка в парке Кейзерграт. Там было так красиво!	Да, а еще мы посетили Рейкьявик, вернее, я нашла замечательный ресторан там. А ты помнишь, как мы заказали блюдо с исландского моха и оказалось, что оно было буквально из мха?
84	Привет. Ты знаешь, что самая большая страна в мире?	Конечно знаю. Это Россия.
85	Конечно знаю. Это Россия.	А ты знаешь, что самое глубокое озеро находится в России?
86	Сегодня понедельник	Да, день недели - понедельник
87	Да, день недели - понедельник	Земля вращается вокруг Солнца
88	Добрый день! Как я могу вам помочь?	Добрый день! Я бы хотел узнать больше о ваших товарах.
89	Добрый день! Я бы хотел узнать больше о ваших товарах.	Конечно, какие именно вас интересуют товары?
90	Что ты думаешь об этой идее?	Мне кажется, что это может быть интересный проект
91	Мне кажется, что это может быть интересный проект	Что тебе нравится в этой идее?
92	Привет, как дела?	Привет, все хорошо, спасибо. А у тебя?
93	Привет, все хорошо, спасибо. А у тебя?	У меня тоже все отлично. Знаешь ли ты, что самая высокая гора на Земле - это Эверест?
94	Привет, как дела?	Привет, у меня все хорошо. А у тебя?
95	Привет, у меня все хорошо. А у тебя?	У меня тоже все отлично. Какой сегодня день недели?
96	Слышал, что ты поссорился с другом, все в порядке?	Да, немного помирились уже
97	Да, немного помирились уже	Но еще есть разногласия, надо будет поговорить
98	Ничего особенного, может быть посмотрю фильм.	А какой фильм хочешь посмотреть?
99	А какой фильм хочешь посмотреть?	Может быть что-то легкое и забавное, чтобы поднять настроение?
100	Модный цвет в этом сезоне - синий.	Да, это действительно так, синий очень популярен этой весной.
101	Да, это действительно так, синий очень популярен этой весной.	Я слышал, что эксперты прогнозируют рост экономики в ближайшие годы.
102	В России больше 100 тысяч рек	Действительно! Какая самая длинная река?
103	Действительно! Какая самая длинная река?	Волга - самая длинная река в России
104	Здравствуйте, я хочу заказать пиццу на дом.	Какую пиццу Вы бы хотели заказать?
105	Какую пиццу Вы бы хотели заказать?	Я бы хотел заказать пиццу «Маргарита» с тонким тестом.
106	Москва – столица России.	Да, это верно. Ее население превышает 12 миллионов человек.
107	Да, это верно. Ее население превышает 12 миллионов человек.	Москва была основана в 1147 году.
108	Я понимаю, что мы совершили ошибку, но я не хочу терять тебя.	Я тоже не хочу терять тебя, но мне нужно время, чтобы обдумать произошедшее.
109	Я тоже не хочу терять тебя, но мне нужно время, чтобы обдумать произошедшее.	Конечно, возможно, я смогу простить тебя и продолжить нашу отношения, но мы должны поработать над нашей проблемой и найти пути решения, чтобы такая ошибка не произошла снова.
110	Я читал, что в Москве более 20 миллионов человек	Да, это верно. Население столицы в 2021 году составляет около 12,7 миллионов человек
111	Да, это верно. Население столицы в 2021 году составляет около 12,7 миллионов человек	А сколько стоит билет на самолет из Москвы до Парижа?
112	Почему ты так долго не отвечал на мои сообщения?	Извини, у меня были проблемы с интернетом.
113	Извини, у меня были проблемы с интернетом.	Также у меня было много работы.
114	В России 11 часов вечера.	К сожалению, я не могу с вами согласиться, потому что у меня есть другие данные.
115	К сожалению, я не могу с вами согласиться, потому что у меня есть другие данные.	Антарктида самый холодный континент.
116	Не знаю, что происходит.	Что случилось?
117	Что случилось?	Я просто не понимаю, что происходит.
118	Привет, сегодня у нас урок математики	Здравствуйте, какой у вас вопрос?
119	Здравствуйте, какой у вас вопрос?	Почему умножение на 0 всегда даёт 0?
120	Какой твой любимый вид спорта?	Я предпочитаю футбол.
121	Я предпочитаю футбол.	А ты любишь заниматься чем-то конкретным или просто наблюдать за спортивными соревнованиями?
122	Привет, как дела?	Привет, у меня все хорошо, а у тебя?
123	Привет, у меня все хорошо, а у тебя?	У меня тоже все отлично. Ты знаешь, что 20% населения Земли говорят на китайском языке?
124	Привет, как дела?	Привет, у меня всё отлично. А у тебя?
125	Привет, у меня всё отлично. А у тебя?	У меня тоже всё хорошо. Какой сегодня день недели?
126	Медведь - самое крупное животное, которое живет в лесу.	Действительно, медведи очень крупные.
127	Действительно, медведи очень крупные.	Краб может жить на дне океана до 100 лет.
128	"Моя любимая книга - ""Преступление и наказание"""	Это замечательная книга. Ее автор - Федор Достоевский
129	Это замечательная книга. Ее автор - Федор Достоевский	Я также люблю книги Михаила Булгакова
130	Привет, как дела?	Привет! Хорошо, спасибо. А у тебя как?
131	Привет! Хорошо, спасибо. А у тебя как?	У меня тоже все хорошо. Знаешь, сегодня я узнал интересный факт.
132	Да, конечно, что бы мы без тебя делали?	Ну-ка, не красиво так говорить, я всего лишь один из многих здесь.
133	Ну-ка, не красиво так говорить, я всего лишь один из многих здесь.	Но я буду стараться, чтобы быть полезным.
134	Здравствуйте, учитель. Мы начинаем урок по математике?	Да, здравствуйте. Да, начинаем. Я готов.
135	Да, здравствуйте. Да, начинаем. Я готов.	У меня есть вопрос по пониманию системы уравнений. Можете объяснить?
136	Не переживай, мы найдем выход из ситуации вместе.	Спасибо за поддержку, это очень важно для меня.
137	Спасибо за поддержку, это очень важно для меня.	Я уверен, что вместе мы сможем решить все проблемы.
138	Был довольно тяжелый день на работе, но все равно смог расслабиться после работы.	- Чем занимался после работы?
139	- Чем занимался после работы?	- Посмотрел пару серий любимого сериала и погулял на свежем воздухе. А ты как провел день?
140	Моя любимая еда - пицца.	Интересно, какая именно? Есть столько разных видов.
141	Интересно, какая именно? Есть столько разных видов.	Я предпочитаю пиццу с грибами и салями.
142	Знаете ли вы, сколько всего рек в России?	Нет, не знаю
143	Нет, не знаю	В России более 100 тысяч рек, общая их протяженность составляет около 3 миллионов километров.
144	Это то, что мы всегда можем быть честными друг с другом.	Я согласен, это очень важно в отношениях.
145	Я согласен, это очень важно в отношениях.	Да, именно поэтому я хочу сказать тебе, что мне не очень нравится, когда ты опаздываешь на наши даты.
146	Я не хочу отказываться от своего мнения.	Но возможно, есть и другие допустимые позиции.
147	Но возможно, есть и другие допустимые позиции.	Может быть, поискать компромиссное решение?
148	Добрый день! Можно узнать расписание работы садика?	Конечно, работаем мы с 7:00 до 19:00, с понедельника по пятницу. А в каком садике вы хотите записать ребенка?
149	Конечно, работаем мы с 7:00 до 19:00, с понедельника по пятницу. А в каком садике вы хотите записать ребенка?	В садике №24 на Красной площади
150	Ты уверен, что это правильный выбор? 	Конечно! Я обдумал все варианты и оценил риски.
151	Конечно! Я обдумал все варианты и оценил риски.	Мне кажется, что да, но я не уверен на 100%.
152	В России проживает более 146 миллионов человек.	Да, население России составляет 146 748 590 человек.
153	Да, население России составляет 146 748 590 человек.	Столицей России является город Москва.
154	Как ты можешь быть так уверенным в этом? 	Я изучал эту тему много лет
155	Я изучал эту тему много лет	Имею огромный опыт в этой области
156	У меня есть прекрасная идея для нашей следующей поездки. Ты готов в нее идти?	Конечно, я всегда готов к новым приключениям! Какая это идея?
157	Конечно, я всегда готов к новым приключениям! Какая это идея?	Мы отправляемся в путешествие по Южной Америке! Обязательно посетим Бразилию, Аргентину, Чили и Перу. Что ты об этом думаешь?
158	По данным Всемирной организации здравоохранения, алкогольные напитки вызывают болезни мозга и сердца.	А этот факт также известен многим людям.
159	А этот факт также известен многим людям.	Существуют более 30 видов дельфинов, и все они обитают в воде.
160	Отлично, посетил(a) несколько музеев и позагорал(a) на пляже.	Я тоже была на пляже несколько раз.
161	Я тоже была на пляже несколько раз.	Какие музеи тебе больше всего понравились?
162	Привет, бот, ты знаешь, что Солнце – это звезда?	Конечно, я знаю. А ты знаешь, что самая большая планета в Солнечной системе – Юпитер?
163	Конечно, я знаю. А ты знаешь, что самая большая планета в Солнечной системе – Юпитер?	Да, я знаю, но ты знаешь, что самая маленькая планета - Меркурий?
164	Кто твой любимый музыкант?	Мне нравится Рихард Вагнер.
165	Мне нравится Рихард Вагнер.	Действительно? Я больше люблю рок-музыку.
166	Какой твой самый любимый фильм?	Мой самый любимый фильм - это «Звёздные войны».
167	Мой самый любимый фильм - это «Звёздные войны».	Я смотрю этот фильм уже много лет и каждый раз он заставляет меня переживать все эмоции заново.
168	Можете подсказать место, где можно найти красивые вазы для дома?	Да, конечно. Вот несколько магазинов, где есть широкий выбор ваз: 'КерамикАРТ', 'Золотое Руно', 'Алмаз-Керамика'
169	Да, конечно. Вот несколько магазинов, где есть широкий выбор ваз: 'КерамикАРТ', 'Золотое Руно', 'Алмаз-Керамика'	А где находится ближайший к нам магазин 'Золотое Руно'?
170	Привет! Как дела?	Привет! У меня всё хорошо, спасибо. А у тебя?
171	Привет! У меня всё хорошо, спасибо. А у тебя?	У меня тоже всё хорошо.
172	Привет, как дела?	Привет, все отлично, спасибо. А у тебя?
173	Привет, все отлично, спасибо. А у тебя?	Не очень, у меня головная боль
174	Что такое квазары?	Квазары — это тела, расположенные на больших расстояниях, которые излучают свет и энергию.
175	Квазары — это тела, расположенные на больших расстояниях, которые излучают свет и энергию.	А можно сказать, что это звезды?
176	Какой самый большой океан на Земле?	Тихий океан.
177	Тихий океан.	Какая самая высокая гора на Земле?
178	Привет!	Здравствуйте! Как я могу Вам помочь?
179	Здравствуйте! Как я могу Вам помочь?	Я ищу дополнительную информацию о продукте.
180	Москва - столица России.	Да, это верно. Где находится главный офис Google?
181	Да, это верно. Где находится главный офис Google?	Как известно, главный офис Google находится в Кремниевой долине в Калифорнии.
182	Привет, как дела?	Привет! Дела хорошо, спасибо за интерес. А у тебя?
183	Привет! Дела хорошо, спасибо за интерес. А у тебя?	У меня тоже все хорошо.
184	Что ты думаешь об этой идее?	Мне кажется, что она может сработать, но нужно еще подумать над деталями.
185	Мне кажется, что она может сработать, но нужно еще подумать над деталями.	Да, я согласен. Нам нужно продумать все нюансы.
186	Пока еще не решил, возможно, сходим на природу или заглянем в кино. 	Так как же ты собираешься провести выходные?
187	Так как же ты собираешься провести выходные?	Я думаю, мы можем съездить на природу и насладиться свежим воздухом.
188	Россия – самая большая страна в мире по территории.	Да, это факт. Территория России составляет 17 миллионов квадратных километров.
189	Да, это факт. Территория России составляет 17 миллионов квадратных километров.	В России есть более 1000 рек, длина которых составляет более 10 км.
190	Как ты проводишь свои выходные?	Обычно я провожу время со своими друзьями или семьей.
191	Обычно я провожу время со своими друзьями или семьей.	Люблю гулять по паркам, ходить в кино и рестораны.
192	Тебе нравится эта песня?	Да, очень
193	Да, очень	Она мне тоже нравится
194	Привет! Как дела?	Привет! У меня всё хорошо, а у тебя?
195	Привет! У меня всё хорошо, а у тебя?	Тоже всё отлично, спасибо. Какой сегодня день недели?
196	Привет, как дела?	Привет, у меня все хорошо. А у тебя?
197	Привет, у меня все хорошо. А у тебя?	У меня тоже все отлично. Ты знаешь, что в России больше 11% занятых в сфере IT?
198	Какие твои мысли по поводу последней конференции, на которую мы отправились?	 Ну, если честно, я была немного разочарована. Ожидала больше новых идей и инсайтов.
199	 Ну, если честно, я была немного разочарована. Ожидала больше новых идей и инсайтов.	Да, я тоже получила впечатление, что в основном было многочисленное повторение очевидных вещей.
200	Я читала о том, что многие птицы прилетают на зимовку в Африку.	Да, это правда. Некоторые из них преодолевают более 11 000 километров.
201	Да, это правда. Некоторые из них преодолевают более 11 000 километров.	Каким образом они находят дорогу?
202	Кто изобрел лампочку?	Лампочку в 1879 году изобрел Томас Эдисон.
203	Лампочку в 1879 году изобрел Томас Эдисон.	Сколько на Земле людей?
204	Я думал, что мы были друзьями, но теперь понимаю, что ошибался. Твое эгоизм и желание всегда иметь правду на своей стороне делает нашу дружбу невозможной.	Я не думаю, что ты прав. Мне кажется, что ты просто не хочешь услышать правду. Я всегда старался говорить правду, чтобы наша дружба была основана на искренности.
205	Я не думаю, что ты прав. Мне кажется, что ты просто не хочешь услышать правду. Я всегда старался говорить правду, чтобы наша дружба была основана на искренности.	Но ты не понимаешь, что правда может быть разной для разных людей. Твоя жестокость и безжалостность вызывают у меня только отвращение.
206	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
207	Привет! У меня все хорошо, а у тебя?	Тоже все отлично. Я читал, что существуют более 200 видов куниц в мире.
208	Какие газеты вы любите читать?	Я читаю разные газеты, но предпочитаю деловые новости. А вы?
209	Я читаю разные газеты, но предпочитаю деловые новости. А вы?	Я также читаю разные газеты, но больше всего интересуюсь научными и техническими новостями.
210	Привет, как дела?	Привет, у меня все хорошо, спасибо.
211	Привет, у меня все хорошо, спасибо.	А ты знал, что Венера - самая горячая планета в Солнечной системе?
212	Какие бы уроки жизни ты хотел передать своим детям или будущим поколениям?	Я бы хотел, чтобы они знали, что в жизни главное - быть добрым человеком и уважать окружающих.
213	Я бы хотел, чтобы они знали, что в жизни главное - быть добрым человеком и уважать окружающих.	Также я бы хотел, чтобы они понимали, что успех не приходит сам по себе, и чтобы достигать своих целей нужно усердно трудиться.
214	Как прошла встреча	Ужасно. Он просто не слушал меня и говорил только о своих проблемах.
215	Ужасно. Он просто не слушал меня и говорил только о своих проблемах.	Это действительно неприятно. Но мы можем попробовать встретиться еще раз и я могу помочь вам подготовиться к разговору.
216	Привет! Ты была в новом ресторане рядом с парком?	Я еще не ходила туда, но мне все говорят, что это очень вкусно!
217	Я еще не ходила туда, но мне все говорят, что это очень вкусно!	Может, сходим туда вместе на выходных?
218	Привет, бот!	Здравствуйте, как я могу вам помочь?
219	Здравствуйте, как я могу вам помочь?	Какой язык программирования наиболее популярен в мире?
220	Ты смотрел последний фильм этого режиссера?	Нет, какой фильм?
221	Нет, какой фильм?	Он называется 'Паразиты'. Очень хорошие отзывы получил.
222	Я понимаю, просто не согласен с тобой.	Но почему ты не согласен?
223	Но почему ты не согласен?	Мне кажется, что эта идея не будет работать в нашей ситуации.
224	Знаете ли вы, что самое большое море в мире - Тихий океан?	Да, я знаю это факт, потому что это один из самых известных фактов о морях и океанах.
225	Да, я знаю это факт, потому что это один из самых известных фактов о морях и океанах.	Еще один факт: большинство золота на земле располагается на глубинах меньше одного километра.
226	В России более 11 временных зон.	Это действительно интересный факт.
227	Это действительно интересный факт.	Фламинго рождаются белыми.
228	Что ты думаешь о своей будущей карьере?	Я очень заинтересована в развитии в IT-сфере. Но еще не совсем уверена, какую именно область выбрать.
229	Я очень заинтересована в развитии в IT-сфере. Но еще не совсем уверена, какую именно область выбрать.	Мне кажется, это очень перспективная отрасль и в ней всегда есть место для роста и развития. Но конечно, нужно постоянно обучаться и совершенствоваться.
230	В России больше половины территории занимает лес.	Да, это так. Леса занимают огромную часть территории России.
231	Да, это так. Леса занимают огромную часть территории России.	Один из самых малонаселенных регионов России — Ямало-Ненецкий автономный округ.
232	Что ты думаешь о новом участнике нашей команды	,
233	,	Я думаю, что он очень талантливый
234	Россия имеет площадь 17 098 242 км².	Это самая большая страна в мире.
235	Это самая большая страна в мире.	Многие люди любят путешествовать на поездах.
236	Москва - столица России.	Это правда. Москва действительно является столицей России.
237	Это правда. Москва действительно является столицей России.	Луна - это спутник Земли.
238	Я слышал, что большинство снежинок имеют шесть лучей.	Это правда - снежинки с шестью лучами на самом деле являются самыми распространенными.
